iter	Logloss
0	0.1795381472
1	0.08787178388
2	0.0685920156
3	0.06210015097
4	0.05890841503
5	0.05707185727
6	0.05605333192
7	0.05482373326
8	0.0542429213
9	0.05376321184
10	0.053296371
11	0.05301945258
12	0.05280873978
13	0.05256742857
14	0.05238319909
15	0.05216895826
16	0.05197727329
17	0.05182154844
18	0.05169609953
19	0.05160664635
20	0.05148758653
21	0.05135792354
22	0.05120212332
23	0.05113398036
24	0.05106640603
25	0.05094890472
26	0.05087818334
27	0.0508232332
28	0.05073673467
29	0.05067535686
30	0.05062417844
31	0.05055707075
32	0.05051077438
33	0.05046169675
34	0.05034256478
35	0.05031414403
36	0.05023618168
37	0.05018931147
38	0.05012023184
39	0.05007774848
40	0.04999755028
41	0.04997249511
42	0.04992508675
43	0.04989382361
44	0.04982257362
45	0.04977643038
46	0.04973006938
47	0.04969538428
48	0.04965261056
49	0.04960469933
50	0.04956214178
51	0.04953181789
52	0.04947644429
53	0.04943846824
54	0.04940582217
55	0.04938443399
56	0.04932624614
57	0.04929326834
58	0.04925856945
59	0.04923071632
60	0.0491853283
61	0.04914552648
62	0.04912477956
63	0.04908288472
64	0.04904941732
65	0.04902809245
66	0.0489975126
67	0.04898284422
68	0.0489608418
69	0.04892176084
70	0.04888488541
71	0.04885809166
72	0.04883143139
73	0.04880338957
74	0.04878535046
75	0.04875893829
76	0.04871456852
77	0.04868878721
78	0.048655453
79	0.04862514409
80	0.048595191
81	0.04855843329
82	0.04854339894
83	0.04850547661
84	0.04847702635
85	0.04846529687
86	0.04844698175
87	0.04842183283
88	0.04839745253
89	0.04837916872
90	0.04836013487
91	0.04833426991
92	0.04831120484
93	0.04828347645
94	0.0482567207
95	0.0482156034
96	0.04819528018
97	0.04817876625
98	0.04815915169
99	0.04815060442
100	0.04813201972
101	0.04809643069
102	0.04807293883
103	0.04805339494
104	0.04803529534
105	0.04801924616
106	0.04799229611
107	0.04796766176
108	0.04794884997
109	0.04792957493
110	0.04789948054
111	0.04787161178
112	0.04784749979
113	0.04782078568
114	0.04781062157
115	0.04777290981
116	0.04775129891
117	0.04773449613
118	0.04771518018
119	0.0476997949
120	0.0476866381
121	0.04767356993
122	0.0476696936
123	0.04765742322
124	0.04764307749
125	0.04761772736
126	0.04759576274
127	0.04757583812
128	0.04755311595
129	0.04751992338
130	0.04750475083
131	0.04747624624
132	0.04746059528
133	0.04744998795
134	0.04743728295
135	0.04742324005
136	0.04740243676
137	0.0473787976
138	0.04736828857
139	0.04734220436
140	0.04732469821
141	0.047303939
142	0.04728075735
143	0.04725008685
144	0.04723392751
145	0.04722061042
146	0.04720474092
147	0.04719502378
148	0.04718602472
149	0.0471700229
